date,food_id,field,old_value,new_value,reason,source_url
2026-09-16,FC000004,aliases,Malagkit,"Malagkit; Rice, milled, glutinous; Bigas, malagkit",Add official description/common names; preserve comma-qualified preparation.,https://i.fnri.dost.gov.ph/fct/library/report/2974
2026-09-16,FC000005,kcal_100g,,167,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2967
2026-09-16,FC000005,protein_g_100g,,3.3,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2967
2026-09-16,FC000005,carbs_g_100g,,35.7,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2967
2026-09-16,FC000005,fat_g_100g,,1.2,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2967
2026-09-16,FC000005,fiber_g_100g,,3.7,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2967
2026-09-16,FC000005,sugar_g_100g,,7.0,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2967
2026-09-16,FC000005,sodium_mg_100g,,1,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2967
2026-09-16,FC000005,cholesterol_mg_100g,,0,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2967
2026-09-16,FC000005,source_url,https://i.fnri.dost.gov.ph/fct/library,https://i.fnri.dost.gov.ph/fct/library/report/2967,Record-specific primary source replaces catalog/bridge reference.,https://i.fnri.dost.gov.ph/fct/library/report/2967
2026-09-16,FC000005,source_name,DOST-FNRI PhilFCT candidate,DOST-FNRI PhilFCT,Checked against official FNRI catalog on 2026-09-16,https://i.fnri.dost.gov.ph/fct/library/report/2967
2026-09-16,FC000005,data_status,CATALOG_ONLY_NEEDS_NUTRIENT_VERIFICATION,VERIFIED_FNRI,Primary-source verification; completeness evaluated across eight nutrients.,https://i.fnri.dost.gov.ph/fct/library/report/2967
2026-09-16,FC000005,aliases,Nilagang mais,"Nilagang mais; Mais sa busal, dilaw, nilaga",Add official description/common names; preserve comma-qualified preparation.,https://i.fnri.dost.gov.ph/fct/library/report/2967
2026-09-16,FC000006,source_name,DOST-FNRI PhilFCT (via CC0 FNRI extraction),DOST-FNRI PhilFCT,Checked against official FNRI catalog on 2026-09-16,https://i.fnri.dost.gov.ph/fct/library/report/3004
2026-09-16,FC000007,kcal_100g,,318,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3003
2026-09-16,FC000007,protein_g_100g,,10.6,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3003
2026-09-16,FC000007,carbs_g_100g,,61.3,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3003
2026-09-16,FC000007,fat_g_100g,,3.4,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3003
2026-09-16,FC000007,fiber_g_100g,,2.4,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3003
2026-09-16,FC000007,sugar_g_100g,,7.4,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3003
2026-09-16,FC000007,sodium_mg_100g,,582,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3003
2026-09-16,FC000007,cholesterol_mg_100g,,3,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3003
2026-09-16,FC000007,source_url,https://i.fnri.dost.gov.ph/fct/library,https://i.fnri.dost.gov.ph/fct/library/report/3003,Record-specific primary source replaces catalog/bridge reference.,https://i.fnri.dost.gov.ph/fct/library/report/3003
2026-09-16,FC000007,source_name,DOST-FNRI PhilFCT candidate,DOST-FNRI PhilFCT,Checked against official FNRI catalog on 2026-09-16,https://i.fnri.dost.gov.ph/fct/library/report/3003
2026-09-16,FC000007,data_status,CATALOG_ONLY_NEEDS_NUTRIENT_VERIFICATION,VERIFIED_FNRI,Primary-source verification; completeness evaluated across eight nutrients.,https://i.fnri.dost.gov.ph/fct/library/report/3003
2026-09-16,FC000008,kcal_100g,,326,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3007
2026-09-16,FC000008,protein_g_100g,,8.6,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3007
2026-09-16,FC000008,carbs_g_100g,,61.6,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3007
2026-09-16,FC000008,fat_g_100g,,5.0,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3007
2026-09-16,FC000008,fiber_g_100g,,1.3,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3007
2026-09-16,FC000008,sugar_g_100g,,8.8,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3007
2026-09-16,FC000008,sodium_mg_100g,,383,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3007
2026-09-16,FC000008,cholesterol_mg_100g,,21,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3007
2026-09-16,FC000008,source_url,https://i.fnri.dost.gov.ph/fct/library,https://i.fnri.dost.gov.ph/fct/library/report/3007,Record-specific primary source replaces catalog/bridge reference.,https://i.fnri.dost.gov.ph/fct/library/report/3007
2026-09-16,FC000008,source_name,DOST-FNRI PhilFCT candidate,DOST-FNRI PhilFCT,Checked against official FNRI catalog on 2026-09-16,https://i.fnri.dost.gov.ph/fct/library/report/3007
2026-09-16,FC000008,data_status,CATALOG_ONLY_NEEDS_NUTRIENT_VERIFICATION,VERIFIED_FNRI,Primary-source verification; completeness evaluated across eight nutrients.,https://i.fnri.dost.gov.ph/fct/library/report/3007
2026-09-16,FC000009,kcal_100g,,349,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3000
2026-09-16,FC000009,protein_g_100g,,9.2,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3000
2026-09-16,FC000009,carbs_g_100g,,60.9,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3000
2026-09-16,FC000009,fat_g_100g,,7.6,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3000
2026-09-16,FC000009,fiber_g_100g,,6.6,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3000
2026-09-16,FC000009,sugar_g_100g,,16.7,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3000
2026-09-16,FC000009,sodium_mg_100g,,262,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3000
2026-09-16,FC000009,cholesterol_mg_100g,,0,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3000
2026-09-16,FC000009,source_url,https://i.fnri.dost.gov.ph/fct/library,https://i.fnri.dost.gov.ph/fct/library/report/3000,Record-specific primary source replaces catalog/bridge reference.,https://i.fnri.dost.gov.ph/fct/library/report/3000
2026-09-16,FC000009,source_name,DOST-FNRI PhilFCT candidate,DOST-FNRI PhilFCT,Checked against official FNRI catalog on 2026-09-16,https://i.fnri.dost.gov.ph/fct/library/report/3000
2026-09-16,FC000009,data_status,CATALOG_ONLY_NEEDS_NUTRIENT_VERIFICATION,VERIFIED_FNRI,Primary-source verification; completeness evaluated across eight nutrients.,https://i.fnri.dost.gov.ph/fct/library/report/3000
2026-09-16,FC000010,kcal_100g,,329,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3010
2026-09-16,FC000010,protein_g_100g,,9.7,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3010
2026-09-16,FC000010,carbs_g_100g,,61.1,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3010
2026-09-16,FC000010,fat_g_100g,,5.1,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3010
2026-09-16,FC000010,fiber_g_100g,,3.3,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3010
2026-09-16,FC000010,sugar_g_100g,,6.8,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3010
2026-09-16,FC000010,sodium_mg_100g,,592,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3010
2026-09-16,FC000010,cholesterol_mg_100g,,0,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3010
2026-09-16,FC000010,source_url,https://i.fnri.dost.gov.ph/fct/library,https://i.fnri.dost.gov.ph/fct/library/report/3010,Record-specific primary source replaces catalog/bridge reference.,https://i.fnri.dost.gov.ph/fct/library/report/3010
2026-09-16,FC000010,source_name,DOST-FNRI PhilFCT candidate,DOST-FNRI PhilFCT,Checked against official FNRI catalog on 2026-09-16,https://i.fnri.dost.gov.ph/fct/library/report/3010
2026-09-16,FC000010,data_status,CATALOG_ONLY_NEEDS_NUTRIENT_VERIFICATION,VERIFIED_FNRI,Primary-source verification; completeness evaluated across eight nutrients.,https://i.fnri.dost.gov.ph/fct/library/report/3010
2026-09-16,FC000010,aliases,Loaf bread; tasty bread; pan Amerikano,"Loaf bread; tasty bread; pan Amerikano; Bread, white, loaf; American loaf",Add official description/common names; preserve comma-qualified preparation.,https://i.fnri.dost.gov.ph/fct/library/report/3010
2026-09-16,FC000011,kcal_100g,,349,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3009
2026-09-16,FC000011,protein_g_100g,,11.2,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3009
2026-09-16,FC000011,carbs_g_100g,,64.2,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3009
2026-09-16,FC000011,fat_g_100g,,5.3,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3009
2026-09-16,FC000011,fiber_g_100g,,2.9,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3009
2026-09-16,FC000011,sugar_g_100g,,5.6,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3009
2026-09-16,FC000011,sodium_mg_100g,,698,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3009
2026-09-16,FC000011,cholesterol_mg_100g,,1,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3009
2026-09-16,FC000011,source_url,https://i.fnri.dost.gov.ph/fct/library,https://i.fnri.dost.gov.ph/fct/library/report/3009,Record-specific primary source replaces catalog/bridge reference.,https://i.fnri.dost.gov.ph/fct/library/report/3009
2026-09-16,FC000011,source_name,DOST-FNRI PhilFCT candidate,DOST-FNRI PhilFCT,Checked against official FNRI catalog on 2026-09-16,https://i.fnri.dost.gov.ph/fct/library/report/3009
2026-09-16,FC000011,data_status,CATALOG_ONLY_NEEDS_NUTRIENT_VERIFICATION,VERIFIED_FNRI,Primary-source verification; completeness evaluated across eight nutrients.,https://i.fnri.dost.gov.ph/fct/library/report/3009
2026-09-16,FC000011,aliases,Toast; tinapay tostado,"Toast; tinapay tostado; Tinapay, tostado",Add official description/common names; preserve comma-qualified preparation.,https://i.fnri.dost.gov.ph/fct/library/report/3009
2026-09-16,FC000012,kcal_100g,,371,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2992
2026-09-16,FC000012,protein_g_100g,,9.3,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2992
2026-09-16,FC000012,carbs_g_100g,,55.5,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2992
2026-09-16,FC000012,fat_g_100g,,12.4,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2992
2026-09-16,FC000012,fiber_g_100g,,1.0,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/2992
2026-09-16,FC000012,source_url,https://i.fnri.dost.gov.ph/fct/library,https://i.fnri.dost.gov.ph/fct/library/report/2992,Record-specific primary source replaces catalog/bridge reference.,https://i.fnri.dost.gov.ph/fct/library/report/2992
2026-09-16,FC000012,source_name,DOST-FNRI PhilFCT candidate,DOST-FNRI PhilFCT,Checked against official FNRI catalog on 2026-09-16,https://i.fnri.dost.gov.ph/fct/library/report/2992
2026-09-16,FC000012,data_status,CATALOG_ONLY_NEEDS_NUTRIENT_VERIFICATION,PARTIAL_VERIFIED_FNRI,Primary-source verification; completeness evaluated across eight nutrients.,https://i.fnri.dost.gov.ph/fct/library/report/2992
2026-09-16,FC000012,aliases,Spanish bread,"Spanish bread; Bread, w/ margarine & sugar filling",Add official description/common names; preserve comma-qualified preparation.,https://i.fnri.dost.gov.ph/fct/library/report/2992
2026-09-16,FC000013,kcal_100g,,368,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3022
2026-09-16,FC000013,protein_g_100g,,5.4,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3022
2026-09-16,FC000013,carbs_g_100g,,62.6,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3022
2026-09-16,FC000013,fat_g_100g,,10.7,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3022
2026-09-16,FC000013,fiber_g_100g,,0.6,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3022
2026-09-16,FC000013,sugar_g_100g,,41.4,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3022
2026-09-16,FC000013,sodium_mg_100g,,704,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3022
2026-09-16,FC000013,cholesterol_mg_100g,,168,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3022
2026-09-16,FC000013,source_url,https://i.fnri.dost.gov.ph/fct/library,https://i.fnri.dost.gov.ph/fct/library/report/3022,Record-specific primary source replaces catalog/bridge reference.,https://i.fnri.dost.gov.ph/fct/library/report/3022
2026-09-16,FC000013,source_name,DOST-FNRI PhilFCT candidate,DOST-FNRI PhilFCT,Checked against official FNRI catalog on 2026-09-16,https://i.fnri.dost.gov.ph/fct/library/report/3022
2026-09-16,FC000013,data_status,CATALOG_ONLY_NEEDS_NUTRIENT_VERIFICATION,VERIFIED_FNRI,Primary-source verification; completeness evaluated across eight nutrients.,https://i.fnri.dost.gov.ph/fct/library/report/3022
2026-09-16,FC000014,kcal_100g,,115,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3100
2026-09-16,FC000014,protein_g_100g,,0.5,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3100
2026-09-16,FC000014,carbs_g_100g,,26.9,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3100
2026-09-16,FC000014,fat_g_100g,,0.6,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3100
2026-09-16,FC000014,fiber_g_100g,,1.1,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3100
2026-09-16,FC000014,sugar_g_100g,,0.0,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3100
2026-09-16,FC000014,sodium_mg_100g,,4,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3100
2026-09-16,FC000014,cholesterol_mg_100g,,0,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/3100
2026-09-16,FC000014,source_food_id,,A138,Exact name or reviewed synonym/preparation match.,https://i.fnri.dost.gov.ph/fct/library/report/3100
2026-09-16,FC000014,source_url,https://i.fnri.dost.gov.ph/fct/library,https://i.fnri.dost.gov.ph/fct/library/report/3100,Record-specific primary source replaces catalog/bridge reference.,https://i.fnri.dost.gov.ph/fct/library/report/3100
2026-09-16,FC000014,source_name,DOST-FNRI PhilFCT candidate,DOST-FNRI PhilFCT,Checked against official FNRI catalog on 2026-09-16,https://i.fnri.dost.gov.ph/fct/library/report/3100
2026-09-16,FC000014,data_status,CATALOG_ONLY_NEEDS_NUTRIENT_VERIFICATION,VERIFIED_FNRI,Primary-source verification; completeness evaluated across eight nutrients.,https://i.fnri.dost.gov.ph/fct/library/report/3100
2026-09-16,FC000014,aliases,Bihon; pancit bihon noodles,"Bihon; pancit bihon noodles; Noodles, rice, boiled; Bihon, nilaga",Add official description/common names; preserve comma-qualified preparation.,https://i.fnri.dost.gov.ph/fct/library/report/3100
2026-09-16,FC000015,data_status,CATALOG_ONLY_NEEDS_NUTRIENT_VERIFICATION,NEEDS_FOOD_IDENTITY_VERIFICATION,No exact cooked egg/canton noodle entry. A140 is dry wheat canton; do not substitute dry for cooked.,https://i.fnri.dost.gov.ph/fct/library/search_item
2026-09-16,FC000016,kcal_100g,,166,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/4216
2026-09-16,FC000016,protein_g_100g,,14.0,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/4216
2026-09-16,FC000016,carbs_g_100g,,0.6,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/4216
2026-09-16,FC000016,fat_g_100g,,12.0,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/4216
2026-09-16,FC000016,fiber_g_100g,,0.0,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/4216
2026-09-16,FC000016,sugar_g_100g,,0.4,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/4216
2026-09-16,FC000016,sodium_mg_100g,,136,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/4216
2026-09-16,FC000016,cholesterol_mg_100g,,460,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/4216
2026-09-16,FC000016,source_url,https://i.fnri.dost.gov.ph/fct/library,https://i.fnri.dost.gov.ph/fct/library/report/4216,Record-specific primary source replaces catalog/bridge reference.,https://i.fnri.dost.gov.ph/fct/library/report/4216
2026-09-16,FC000016,source_name,DOST-FNRI PhilFCT candidate,DOST-FNRI PhilFCT,Checked against official FNRI catalog on 2026-09-16,https://i.fnri.dost.gov.ph/fct/library/report/4216
2026-09-16,FC000016,data_status,CATALOG_ONLY_NEEDS_NUTRIENT_VERIFICATION,VERIFIED_FNRI,Primary-source verification; completeness evaluated across eight nutrients.,https://i.fnri.dost.gov.ph/fct/library/report/4216
2026-09-16,FC000016,aliases,Boiled egg; nilagang itlog,"Boiled egg; nilagang itlog; Itlog, manok, buo, nilaga",Add official description/common names; preserve comma-qualified preparation.,https://i.fnri.dost.gov.ph/fct/library/report/4216
2026-09-16,FC000017,kcal_100g,,139,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/4215
2026-09-16,FC000017,protein_g_100g,,12.3,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/4215
2026-09-16,FC000017,carbs_g_100g,,1.4,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/4215
2026-09-16,FC000017,fat_g_100g,,9.4,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/4215
2026-09-16,FC000017,fiber_g_100g,,0.0,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/4215
2026-09-16,FC000017,sugar_g_100g,,0.4,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/4215
2026-09-16,FC000017,sodium_mg_100g,,128,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/4215
2026-09-16,FC000017,cholesterol_mg_100g,,428,Fill blank from official FNRI catalog; no inferred zero.,https://i.fnri.dost.gov.ph/fct/library/report/4215
2026-09-16,FC000017,source_url,https://i.fnri.dost.gov.ph/fct/library,https://i.fnri.dost.gov.ph/fct/library/report/4215,Record-specific primary source replaces catalog/bridge reference.,https://i.fnri.dost.gov.ph/fct/library/report/4215
